,image,w,h
0,IMG_20210625_150705.jpg,562,600
1,IMG_20210625_150712.jpg,566,600
2,IMG_20210625_150718.jpg,597,600
3,IMG_20210625_150718 (copy 1).jpg,600,470
4,IMG_20210625_151623.jpg,450,600
5,IMG_20210625_151628.jpg,363,600
6,IMG_20210625_151638.jpg,450,600
7,IMG_20210625_152930.jpg,450,600
8,IMG_20210625_152930 (copy 1).jpg,600,452
9,IMG_20210625_152939.jpg,450,600
10,IMG_20210625_152943.jpg,450,600
11,IMG_20210625_144833.jpg,450,600
12,IMG_20210625_145002.jpg,450,600
13,IMG_20210625_151031.jpg,467,600
14,IMG_20210625_151037.jpg,470,600
15,IMG_20210625_151041.jpg,450,600
16,IMG_20210625_151826.jpg,450,600
17,IMG_20210625_151834.jpg,462,600
18,IMG_20210625_151542.jpg,388,600
19,IMG_20210625_151545.jpg,450,600
20,IMG_20210625_151548.jpg,450,600
21,IMG_20210625_151243.jpg,450,600
22,IMG_20210625_151251.jpg,450,600
23,web_flutes.JPG,640,480
24,IMG_20210625_152403.jpg,450,600
25,IMG_20210625_152410.jpg,450,600
26,IMG_20210625_152413.jpg,450,600
27,IMG_20210625_151213.jpg,600,552
28,IMG_20210625_151217.jpg,551,600
29,IMG_20210625_151224.jpg,450,600
30,IMG_20210625_151343.jpg,450,600
31,IMG_20210625_151349.jpg,450,600
32,IMG_20210625_151353.jpg,450,600
33,IMG_20210625_151718.jpg,450,600
34,IMG_20210625_151726.jpg,450,600
35,IMG_20210625_151730.jpg,450,600
36,IMG_20210625_152046.jpg,450,600
37,IMG_20210625_152055.jpg,450,600
38,IMG_20210625_152115.jpg,600,450
39,IMG_20210625_151915.jpg,450,600
40,IMG_20210625_151924.jpg,533,600
41,IMG_20210625_151849.jpg,450,600
42,IMG_20210625_151857.jpg,450,600
43,IMG_20210625_152454.jpg,450,600
44,IMG_20210625_152458.jpg,450,600
45,IMG_20210625_152505.jpg,450,600
46,web_beard.JPG,480,640
47,IMG_20210625_152232.jpg,450,600
48,IMG_20210625_152241.jpg,450,600
49,IMG_20210625_152248.jpg,450,600
50,IMG_20200228_131200.jpg,450,600
51,IMG_20200903_164759.jpg,450,600
52,IMG_20200907_163121.jpg,450,600
53,asterix_museum.jpg,450,600
54,asterix_web2.jpg,485,600
55,black_mister_sky_gerade_glare.jpg,450,600
56,blumen_original.jpg,600,450
57,blumen_schräg.jpg,427,414
58,brandner_original.jpg,410,473
59,brandner_schräg.jpg,450,600
60,cerwenka_glare.jpg,450,600
61,chaplin_gerade2.jpg,450,600
62,drioli_glare.jpg,450,600
63,fallani_glare.jpg,450,600
64,fallani_glare_nahe.jpg,450,600
65,fischer_gerade.jpg,450,600
66,flora_gerade.jpg,450,600
67,flora_gerade_finster.jpg,450,600
68,fujino_glare.jpg,450,600
69,fujino_glare3.jpg,450,600
70,fujino_glare_gerade.jpg,450,600
71,gestacker_gerade.jpg,450,600
72,griff_museum.jpg,600,450
73,gunther_blurry.jpg,450,600
74,gunther_gerade.jpg,450,600
75,gunther_schräg.jpg,450,600
76,hafen_schräg.jpg,450,600
77,hamsterin_web2.jpg,466,600
78,holzdruck_gerade.jpg,450,600
79,hundertwasser_gerade_glare.jpg,600,450
80,hundertwasser_museum.jpg,450,600
81,hw_gerade_glare.jpg,450,600
82,hw_mr_schräg_glare.jpg,450,600
83,irinaland_good.jpg,450,600
84,isis_pompeij.jpg,600,450
85,jap_holz_glare.jpg,450,600
86,jap_holz_glare_gerade.jpg,450,600
87,jap_holzdruck_glare.jpg,450,600
88,jap_holzdruck_glare_gerade.jpg,450,600
89,korab_gerade.jpg,450,600
90,korab_glare_schräg.jpg,450,600
91,landschaft_gerade.jpg,450,600
92,landschaft_gerade2.jpg,450,600
93,landschaft_schräg2.jpg,450,600
94,langlois_glare.jpg,450,600
95,langlois_vg_museum (copy 1).jpg,481,600
96,madame_paul_museum.jpg,520,600
97,madame_paul_museum_cropped.jpg,525,600
98,mosaic_museum.jpg,450,600
99,mosaic_web1.jpg,473,473
100,moschee_gerade.jpg,450,600
101,oichten_gerade_glare.jpg,450,600
102,oichten_glare.jpg,450,600
103,onkel_gunther_gerade2.jpg,450,600
104,poetry_museum.jpg,450,600
105,pygmies_museum.jpg,600,450
106,renoir_bath_museum.jpg,450,600
107,renoir_bath_web2.jpg,303,373
108,ruse_of_reasonmuseum.jpg,450,600
109,sampl_gerade_glare.jpg,450,600
110,sampl_thomatal_gerade.jpg.jpg,450,600
111,sampl_thomatal_glare_gerade.jpg.jpg,450,600
112,schlangen_web1.jpg,466,600
113,selbstbildnis_vg_museum.jpg,450,600
114,stefans_plane_newspaper_side.jpg.jpg,450,600
115,stefans_plane_newspaper_straight.jpg.jpg,450,600
116,stefans_plane_newspaper_straight2.jpg,450,600
117,20210812_194234.jpg,750,1000
118,20210812_194238.jpg,750,1000
119,20210812_194851.jpg,750,1000
120,20210812_194855.jpg,750,1000
121,20210812_194902.jpg,750,1000
122,20210812_194926.jpg,750,1000
123,20210812_194933.jpg,750,1000
124,20210812_194936.jpg,750,1000
125,20210812_195519.jpg,750,1000
126,20210812_195521.jpg,750,1000
127,20210812_195853.jpg,750,1000
128,20210812_195858.jpg,750,1000
129,20210819_202834.jpg,1000,750
130,20210819_202836.jpg,1000,750
131,20210819_202935.jpg,750,1000
132,20210819_202941.jpg,750,1000
133,20210819_202946.jpg,750,1000
134,20210819_203506.jpg,750,1000
135,IMG-20210609-WA0002.jpg,1000,750
136,IMG-20210609-WA0003.jpg,750,1000
137,IMG-20210609-WA0004.jpg,1000,750
138,IMG-20210609-WA0005.jpg,1000,750
139,IMG-20210609-WA0006.jpg,1000,750
140,IMG-20210825-WA0052.jpg,1000,750
141,IMG-20210905-WA0003.jpg,750,1000
142,IMG-20210905-WA0004.jpg,1000,750
143,IMG-20210905-WA0005.jpg,1000,750
144,IMG_20200812_172100.jpg,750,1000
145,IMG_20200906_120009.jpg,750,1000
146,IMG_20210122_121430.jpg,336,461
147,IMG_20210122_121717.jpg,750,1000
148,IMG_20210122_124701.jpg,750,1000
149,20210821_144858.jpg,450,600
150,20210821_145030.jpg,450,600
151,20210821_145147.jpg,450,600
152,20210821_150446.jpg,450,600
153,20210821_151209.jpg,450,600
154,20210821_151239.jpg,450,600
155,20210821_151900.jpg,450,600
156,20210821_151954.jpg,600,450
157,20210821_152041.jpg,600,450
158,20210821_153036.jpg,600,450
159,20210823_113407.jpg,450,600
160,20210823_115007.jpg,600,450
161,20210823_115339.jpg,600,450
162,20210823_115525.jpg,600,450
163,20210823_115642.jpg,600,450
164,20210823_120501.jpg,600,450
165,20210823_120607.jpg,600,450
166,20210823_121241.jpg,450,600
167,20210823_121523.jpg,600,450
168,20210823_122519.jpg,450,600
169,20210823_122523.jpg,450,600
170,20210823_122601.jpg,600,450
171,20210823_123502.jpg,450,600
172,20210823_130146.jpg,600,450
173,20210823_133003.jpg,450,600
174,20210823_134239.jpg,450,600
175,20210823_134844.jpg,600,450
176,20210824_115101.jpg,450,600
177,20210824_115334.jpg,600,450
178,20210824_115703.jpg,450,600
179,20210824_115900.jpg,600,450
180,20210824_120146.jpg,600,450
181,20210824_121252.jpg,450,600
182,20210824_121535.jpg,600,450
183,20210824_121834.jpg,450,600
184,20210824_130636.jpg,450,600
185,20210824_132022.jpg,600,450
186,20210824_132434.jpg,600,450
187,20210824_132909.jpg,600,450
188,20210824_133328.jpg,450,600
189,20210824_133603.jpg,600,450
190,20210824_133827.jpg,450,600
191,20210824_135604.jpg,600,450
192,20210824_140158.jpg,600,450
193,20210824_140245.jpg,600,450
194,20210824_140558.jpg,600,450
195,20210824_140601.jpg,600,450
196,20210824_141433.jpg,600,450
